hire_date,emp_no,last_name,first_name,gender,birth_date
1/2/1986,252138,Zaiane,Kiyotoshi,M,1/27/1953
1/2/1986,291270,Riefers,Lorien,F,12/4/1953
1/2/1986,459282,Suwa,Kousuke,M,10/29/1962
1/2/1986,246379,Hertweck,Odinaldo,F,12/19/1964
1/2/1986,484504,Orlowski,Gou,M,9/2/1952
1/2/1986,429848,Lundstrom,Danco,M,2/3/1960
1/2/1986,454750,Naudin,Fumitake,M,6/22/1953
1/2/1986,87400,Berztiss,Lunjin,F,2/4/1959
1/2/1986,88793,Ghandeharizadeh,Gully,M,11/20/1957
1/2/1986,272354,Panwar,Danil,M,11/29/1960
1/2/1986,73834,Zeilberger,Kerryn,M,6/11/1954
1/2/1986,109469,Felder,Georg,M,7/9/1964
1/2/1986,204004,Ullian,Adamantios,M,10/26/1959
1/2/1986,255619,Vesel,Rutger,F,1/22/1963
1/2/1986,33899,Deville,Neelam,M,11/22/1959
1/2/1986,422911,Peral,Kwangjo,M,7/17/1959
1/2/1986,103410,Swick,Uwe,M,1/30/1963
1/2/1986,206424,Genther,Sanjit,M,7/21/1963
1/2/1986,432419,Brookner,Yifei,F,1/25/1953
1/2/1986,70832,Gargeya,Zengping,M,6/27/1961
1/2/1986,241219,Lovengreen,Lucian,M,9/1/1958
1/2/1986,63933,Lanteri,Phuoc,M,3/9/1959
1/2/1986,22028,Manderick,Serif,F,6/14/1957
1/2/1986,481350,Crabtree,Ioana,M,4/9/1953
1/2/1986,433955,Daescu,Niteen,F,4/21/1953
1/2/1986,239791,Radwan,Luise,F,3/15/1959
1/2/1986,239305,Brookman,Masoud,F,3/19/1962
1/2/1986,209531,Itschner,Naftali,F,1/9/1956
1/2/1986,62480,Stemann,Bedrich,M,5/22/1955
1/2/1986,99918,Raoux,Tristan,F,5/25/1963
1/2/1986,238538,Pehl,Fumitaka,M,11/18/1955
1/2/1986,238270,Mattern,Oguz,F,8/15/1959
1/2/1986,238011,Morrow,Maren,M,11/22/1957
1/2/1986,38810,Roccetti,Pohua,M,8/22/1954
1/2/1986,472417,Bojadziev,Yucel,M,10/23/1964
1/2/1986,259830,Nations,Holgard,F,2/28/1964
1/2/1986,493231,Gini,Gianluca,F,11/24/1958
1/2/1986,298078,Naudin,Ewing,F,6/20/1961
1/2/1986,478868,Gecsei,Lijie,F,2/28/1961
1/2/1986,221076,Prenel,Richard,M,4/16/1953
1/2/1986,61124,Waymire,Nechama,F,12/24/1954
1/2/1986,260242,Turnbull,Ramzi,M,4/3/1960
1/2/1986,211104,Simmen,Heeju,M,12/23/1963
1/2/1986,236360,Hitomi,Hugh,F,11/1/1956
1/2/1986,464568,Perry,Leucio,M,7/7/1963
1/2/1986,248952,Snedden,Horward,F,4/20/1958
1/2/1986,472715,Laventhal,Zhensheng,F,8/9/1956
1/2/1986,436531,Hiraishi,Taegyun,M,11/29/1961
1/2/1986,18248,Zwicker,Jouko,M,6/3/1960
1/2/1986,498903,Pluym,Aria,F,2/16/1960
1/2/1986,261507,Driscoll,George,F,12/24/1955
1/2/1986,80082,Salverda,Shaleah,M,7/18/1953
1/2/1986,59575,Shumilov,Patricio,M,2/3/1960
1/2/1986,400063,Zhiwei,Jungsoon,M,2/3/1962
1/2/1986,10170,Jenevein,Kasturi,F,10/3/1960
1/2/1986,80701,Domenig,Ramachenga,M,4/27/1958
1/2/1986,96020,Schwartzburd,Poorav,M,1/22/1962
1/2/1986,417078,Sethi,Shigenori,M,1/21/1955
1/2/1986,233541,Ecklund,Amalendu,M,5/1/1952
1/2/1986,233231,Merro,Hilari,F,1/26/1963
1/2/1986,58468,Limongiello,Lucian,F,7/25/1953
1/2/1986,233124,Wendorf,Khoa,M,8/13/1962
1/2/1986,498613,Hofmeyr,Adas,M,1/16/1953
1/2/1986,466372,Chachaty,Marin,F,9/20/1956
1/2/1986,264819,Erez,Jenwei,M,12/6/1961
1/2/1986,476012,Vigier,Leaf,F,9/10/1961
1/2/1986,438915,Szilard,Marsha,F,1/19/1954
1/2/1986,407214,Erva,Nathalie,M,5/19/1960
1/2/1986,44574,Brookner,Larisa,M,11/25/1963
1/2/1986,215514,Sidhu,Kien,F,7/9/1963
1/2/1986,93216,Chelton,Dung,M,1/8/1953
1/2/1986,475269,Cullers,Rance,F,8/30/1952
1/2/1986,47828,Manders,Mayuri,F,1/7/1957
1/2/1986,47821,Mitina,Raimond,M,7/7/1953
1/2/1986,14104,Demian,Sudhanshu,M,1/3/1965
1/2/1986,217164,McFarlan,Rosalie,M,10/24/1958
1/2/1986,414045,Spataro,Akhilish,M,3/8/1961
1/2/1986,87756,Pero,Adel,F,12/4/1960
1/2/1986,92210,Assaf,Kazuhito,M,6/1/1952
1/3/1986,449323,Fujisawa,Woody,M,5/25/1954
1/3/1986,225923,Masada,Taiji,M,8/17/1962
1/3/1986,493878,Bala,Foong,F,12/16/1960
1/3/1986,446301,Sichman,Hidde,F,6/17/1959
1/3/1986,13728,Swab,Insup,M,5/23/1964
1/3/1986,75971,Kisuki,Honesty,M,5/20/1955
1/3/1986,235377,Kusalik,Guther,F,6/14/1953
1/3/1986,96828,Sessa,Duri,M,5/2/1964
1/3/1986,447011,Pashtan,Guangming,M,6/24/1959
1/3/1986,477880,Furudate,Arvind,F,9/7/1954
1/3/1986,407078,Aloia,Rosella,F,2/11/1962
1/3/1986,261900,Randt,Zongyan,M,11/9/1955
1/3/1986,279488,Vandervoorde,Aleksandar,M,12/31/1953
1/3/1986,491240,Kemmerer,Sasan,F,8/4/1958
1/3/1986,290558,Linares,Franziska,M,5/22/1953
1/3/1986,417602,Bierbaum,Reinhard,M,3/4/1957
1/3/1986,279430,Verhaegen,Xianlong,M,6/19/1956
1/3/1986,457634,Laurillard,Zhongwei,M,6/12/1961
1/3/1986,444610,Denos,Xuejun,M,1/31/1958
1/3/1986,251579,Bottner,Remmert,M,10/1/1952
1/3/1986,63944,Litecky,Bluma,M,9/18/1959
1/3/1986,432511,Baalen,Ewing,M,3/30/1958
1/3/1986,75546,Samarati,Geoffrey,M,5/24/1954
1/3/1986,23306,Falco,Ziva,F,4/9/1953
1/3/1986,28746,Maquelin,Steve,F,5/16/1953
1/3/1986,267135,Cannata,Shigehiro,F,8/31/1956
1/3/1986,74734,Bierman,Stevo,F,10/25/1957
1/3/1986,431325,Egerstedt,Valter,F,1/4/1959
1/3/1986,278845,Figueira,Maria,M,1/26/1964
1/3/1986,468147,Chinal,Abdelaziz,M,8/10/1961
1/3/1986,65835,Beetstra,Arra,M,3/5/1953
1/3/1986,278744,Jeansoulin,Sergi,F,11/19/1959
1/3/1986,437414,Kavvadias,Arnould,F,1/4/1959
1/3/1986,59094,McDermid,Adin,M,9/4/1952
1/3/1986,41857,Beznosov,Munehiko,M,4/27/1953
1/3/1986,292851,Gurbaxani,Qunsheng,M,8/12/1962
1/3/1986,430475,Trystram,Tonia,M,12/15/1961
1/3/1986,487286,Copas,Insup,F,11/25/1954
1/3/1986,496753,Syrzycki,Soenke,F,11/16/1962
1/3/1986,430392,Marrakchi,Jinya,M,3/12/1960
1/3/1986,275998,Silva,Hongzhu,M,4/1/1961
1/3/1986,213390,Stroustrup,Vidya,M,2/19/1962
1/3/1986,25139,Jiang,Aloke,M,12/29/1952
1/3/1986,448364,Sinitsyn,Xuedong,F,8/13/1954
1/3/1986,424812,Taneja,Martina,F,12/11/1953
1/3/1986,71669,Aumann,Sachio,F,6/23/1963
1/3/1986,268018,Boreale,Yechiam,M,12/30/1961
1/3/1986,108739,Pesch,Gad,M,7/29/1959
1/3/1986,406336,Heiserman,Nishit,M,9/19/1955
1/3/1986,68055,Jansen,Narain,M,5/29/1953
1/3/1986,51250,Alpay,Leah,F,10/30/1954
1/3/1986,476493,Dredge,Shahar,M,5/23/1961
1/3/1986,45514,Alpin,Jessie,M,2/15/1955
1/3/1986,232681,Heering,Florina,F,6/11/1955
1/3/1986,249999,Nitto,Hyuckchul,M,3/16/1959
1/3/1986,440545,Tchuente,Slavian,M,12/3/1959
1/3/1986,247060,Bamford,Pranay,F,2/2/1954
1/3/1986,249136,Borovoy,George,F,8/12/1963
1/3/1986,100004,Nitsch,Avishai,M,4/16/1960
1/3/1986,209665,Stentiford,Takanari,M,12/19/1959
1/3/1986,434441,Miyakawa,Jahangir,F,4/27/1961
1/3/1986,99197,Terlouw,Becky,M,2/10/1960
1/3/1986,220089,Woycyznski,Kiyomitsu,M,8/31/1953
1/3/1986,282926,Stemann,Tianruo,M,7/30/1961
1/3/1986,259215,Sridhar,Annemarie,M,10/26/1958
1/3/1986,99043,Pagter,Ebbe,M,12/4/1964
1/3/1986,208663,Heystek,Christoper,M,7/2/1957
1/3/1986,259411,Perry,Faiza,M,2/23/1954
1/3/1986,77045,Perna,Arra,M,11/10/1960
1/3/1986,451794,Constantine,Masali,F,2/20/1954
1/3/1986,455336,Hatcliff,Debaprosad,M,11/30/1954
1/3/1986,481247,Bednarek,Tonia,F,3/6/1963
1/3/1986,101905,Heuter,Ortrun,F,9/5/1961
1/3/1986,486679,Kavvadias,Aleksander,M,5/29/1954
1/3/1986,408754,Linares,Adas,M,5/21/1962
1/3/1986,61515,Curless,Mats,M,10/22/1953
1/3/1986,485166,Heystek,Karoline,F,2/5/1961
1/3/1986,51525,Rosay,Itzchak,M,2/18/1958
1/3/1986,219769,Munoz,Georg,M,8/7/1963
1/3/1986,435043,Gunderson,Eric,M,12/19/1962
1/3/1986,409995,Grospietsch,Tomoyuki,M,6/12/1953
1/3/1986,435163,Bharadwaj,Henk,F,3/7/1958
1/3/1986,440322,Wuwongse,Mingsen,F,11/14/1963
1/3/1986,68548,Highland,Josyula,F,2/20/1963
1/3/1986,225683,Castellani,Phillip,M,10/2/1963
1/3/1986,265059,Rothenberg,Trygve,F,2/20/1959
1/3/1986,19044,Narlikar,Berhard,M,11/9/1958
1/3/1986,435481,Glinert,Aloke,M,12/9/1953
1/3/1986,289650,Felder,Teunis,M,3/30/1954
1/3/1986,11378,Katiyar,Masamitsu,F,7/30/1959
1/3/1986,210845,Rajala,Taiji,F,10/22/1959
1/3/1986,25972,Escriba,Demos,F,11/7/1952
1/3/1986,15285,Veeraraghavan,Yurii,M,4/2/1957
1/3/1986,247625,Uhrik,Anoosh,F,1/24/1960
1/3/1986,69682,Siksek,Gor,M,10/22/1954
1/3/1986,229312,Huhdanpaa,Yechezkel,M,3/5/1958
1/3/1986,211618,Rabehasaina,Tetsurou,F,1/24/1953
1/3/1986,57264,Passino,Itzchak,F,10/7/1961
1/3/1986,15038,Dalphin,Weidon,M,6/22/1961
1/3/1986,299327,Griswold,Alain,F,7/6/1955
1/3/1986,458056,Pocchiola,Garnet,M,2/4/1954
1/3/1986,14969,Himler,Hongzue,F,1/23/1964
1/3/1986,478084,Standera,Kazuyasu,F,1/27/1961
1/3/1986,84329,Lindqvist,Shugo,F,11/5/1961
1/3/1986,40383,Pepe,Subhash,M,1/29/1961
1/3/1986,295025,Chepyzhov,Ziyad,M,9/21/1960
1/4/1986,414978,Jiafu,Sorina,F,7/15/1952
1/4/1986,427540,Eiter,Genevieve,F,4/16/1960
1/4/1986,249644,Nourani,Etsuo,F,4/24/1957
1/4/1986,49676,Naumovich,Laurentiu,F,7/21/1963
1/4/1986,224944,Narlikar,Marek,M,9/20/1958
1/4/1986,444101,Chelton,Valery,F,1/24/1961
1/4/1986,270111,Choobineh,Leen,M,10/13/1958
1/4/1986,52856,Speel,Kazuhide,M,7/22/1953
1/4/1986,48595,Encarnacion,Shan,M,5/3/1963
1/4/1986,469589,Jervis,Parto,F,7/5/1961
1/4/1986,90722,Bolsens,Kensyu,M,8/3/1963
1/4/1986,274140,Radhakrishnan,Kiyokazu,F,11/26/1961
1/4/1986,269425,Picco,Muzhong,M,6/17/1964
1/4/1986,53762,Seghrouchni,Sanjai,M,3/4/1964
1/4/1986,219252,Molberg,Urs,M,2/24/1961
1/4/1986,226857,Calkin,Neelam,M,11/2/1957
1/4/1986,275029,McDermid,Morris,M,8/5/1962
1/4/1986,268156,Itzfeldt,Mahendra,M,1/4/1961
1/4/1986,474251,Brobst,Maik,F,7/7/1963
1/4/1986,413195,Halloran,Sachin,F,7/25/1954
1/4/1986,497562,Peral,Trygve,F,1/27/1961
1/4/1986,468270,Atchley,Shaunak,F,9/23/1964
1/4/1986,13531,Sluis,Shuichi,M,3/9/1957
1/4/1986,440036,Vecchio,Pranav,F,2/26/1961
1/4/1986,217629,Beeson,Bilhanan,M,8/1/1960
1/4/1986,217603,Hedayat,Chinho,M,9/23/1957
1/4/1986,216670,Paludetto,Sreenivas,F,5/15/1953
1/4/1986,415169,Selvestrel,Yishay,M,1/22/1959
1/4/1986,14695,Cromarty,Udo,F,7/25/1956
1/4/1986,265900,Skafidas,Alain,F,1/25/1959
1/4/1986,231067,Isaak,Qingxiang,M,4/20/1959
1/4/1986,15325,Sadowsky,Maia,F,4/6/1959
1/4/1986,215111,Dahlbom,Sajjad,M,2/6/1954
1/4/1986,215032,Chaudhuri,Limsoon,M,6/10/1957
1/4/1986,277328,Yurek,Mooi,F,3/5/1954
1/4/1986,265009,Harbusch,Tze,M,12/13/1953
1/4/1986,277472,Lung,Bernd,M,7/21/1954
1/4/1986,264477,Orsini,Sigeru,M,5/28/1954
1/4/1986,42728,Melton,Moon,F,9/2/1952
1/4/1986,278186,Rabejac,Golgen,M,2/17/1964
1/4/1986,94912,Kavanagh,Radhia,M,5/26/1958
1/4/1986,95506,Schicker,Charmane,M,11/20/1959
1/4/1986,81144,Heinisuo,Ashish,M,9/28/1959
1/4/1986,263301,Tetzlaff,Masasuke,M,2/6/1964
1/4/1986,95876,Rosaz,Nahla,M,1/4/1959
1/4/1986,59268,Besancenot,Berry,F,6/10/1954
1/4/1986,437074,Falco,Jiang,M,1/4/1954
1/4/1986,96929,Pollacia,Vidar,M,10/20/1961
1/4/1986,261298,Ventosa,Ottavia,F,8/1/1953
1/4/1986,299593,Panwar,Aron,F,7/7/1955
1/4/1986,299541,Compeau,Subbu,M,12/6/1953
1/4/1986,60230,Gecseg,Naftali,M,12/20/1962
1/4/1986,236435,Tanemo,Munir,M,4/15/1958
1/4/1986,39381,Zizka,Remco,M,1/1/1960
1/4/1986,450316,Hettesheimer,Shietung,M,7/21/1958
1/4/1986,298153,Plavsic,Luigi,F,4/1/1961
1/4/1986,435273,Michaels,Jiong,F,2/21/1963
1/4/1986,238044,Conti,Leen,M,11/30/1954
1/4/1986,419862,Bressoud,Odinaldo,M,1/31/1955
1/4/1986,281398,Poujol,Randy,F,6/29/1953
1/4/1986,259666,Peac,Lobel,M,2/7/1961
1/4/1986,61998,Lunn,Ute,F,9/25/1955
1/4/1986,238586,Bednarek,Marek,F,12/5/1962
1/4/1986,99514,Ecklund,Chiranjit,M,12/5/1957
1/4/1986,282720,Diderrich,Falguni,M,1/1/1964
1/4/1986,20707,Ciolek,Achilleas,F,11/15/1960
1/4/1986,480248,Verhoeff,Valter,M,10/23/1963
1/4/1986,36923,Jeong,Parviz,M,8/28/1953
1/4/1986,208439,Rahier,Emdad,F,4/24/1956
1/4/1986,240097,Kitai,Godehard,M,2/22/1952
1/4/1986,36423,Tibblin,Rosli,F,8/23/1956
1/4/1986,433806,Hmelo,Conor,M,3/24/1956
1/4/1986,240138,Rajaraman,Berthier,F,5/1/1958
1/4/1986,63419,Seuren,Hiroyasu,F,1/14/1965
1/4/1986,222587,Chiola,Kiyokazu,F,10/6/1953
1/4/1986,35788,Burnard,Weiyi,M,10/31/1953
1/4/1986,240853,Driscoll,Susuma,M,3/31/1960
1/4/1986,421753,Moffat,Giordano,M,1/3/1963
1/4/1986,432566,Orlowski,Dzung,M,10/15/1955
1/4/1986,88014,Muchinsky,Rasikan,M,4/12/1964
1/4/1986,422406,Muhlberg,Kamran,F,7/31/1961
1/4/1986,294069,Stellhorn,Fei,F,6/17/1952
1/4/1986,294046,Etalle,Genevieve,F,6/4/1959
1/4/1986,293722,Isard,Yongqiao,F,6/12/1956
1/4/1986,103861,Hiltgen,Prodip,F,4/11/1963
1/4/1986,271499,Bael,Shim,F,3/26/1960
1/4/1986,254860,Docker,Lansing,F,9/23/1954
1/4/1986,74655,Speek,Premsyl,F,3/7/1957
1/4/1986,104467,Panwar,Anoosh,M,4/26/1953
1/4/1986,244129,Picaronny,Augustine,M,10/26/1958
1/4/1986,293091,Rosch,Branimir,M,7/9/1958
1/4/1986,431132,Sudbeck,Ranga,M,9/2/1958
1/4/1986,254361,Levergood,Vugranam,M,6/10/1959
1/4/1986,442996,Baranowski,Alejandra,M,5/17/1961
1/4/1986,245135,Burnard,Shirish,F,10/12/1959
1/4/1986,31999,Siksek,Stabislas,M,12/15/1953
1/4/1986,286490,Ranai,Gill,F,9/27/1952
1/4/1986,105917,England,Zhigen,F,8/31/1964
1/4/1986,246639,Schiettecatte,Sergi,M,2/24/1955
1/4/1986,247881,Baba,Yuuichi,F,6/16/1962
1/4/1986,248018,Schmiedel,Brewster,M,3/14/1956
1/4/1986,248237,Usery,Zhonghui,F,2/10/1963
1/4/1986,248295,Rathonyi,Francesca,F,10/7/1955
1/4/1986,26700,Rindone,Poornachandra,F,8/9/1964
1/4/1986,457769,Chaudhury,Serge,F,5/17/1963
1/4/1986,71026,Remmele,Akhilish,M,11/16/1963
1/4/1986,222452,Picco,Gaurav,F,11/15/1960
1/5/1986,475681,Kinley,Dinkar,M,4/11/1952
1/5/1986,207569,Kadhim,Vitali,M,12/30/1958
1/5/1986,54789,Boyle,Munehiro,F,2/26/1952
1/5/1986,12204,Mattern,Menkae,F,4/8/1958
1/5/1986,471910,Massonet,Jeong,F,10/17/1956
1/5/1986,466887,Langford,Barry,F,2/7/1963
1/5/1986,414466,Chinal,Sastry,M,12/24/1953
1/5/1986,12779,Birrer,Miomir,M,5/10/1963
1/5/1986,449516,Birge,Ziyad,M,12/23/1956
1/5/1986,265950,Schicker,Eishiro,M,3/2/1958
1/5/1986,268862,Rassart,Jianhui,F,5/4/1953
1/5/1986,491288,Panwar,Yakkov,M,4/6/1956
1/5/1986,109385,Bernini,Valery,F,5/21/1957
1/5/1986,453097,Ossenbruggen,Brigham,M,8/29/1959
1/5/1986,40124,Benzmuller,Emran,M,7/23/1958
1/5/1986,14551,Sinitsyn,Richard,M,1/18/1965
1/5/1986,469998,Viele,Christoper,M,12/16/1958
1/5/1986,412687,Smeets,Mingzeng,M,6/6/1964
1/5/1986,205657,Pepe,Gretta,M,10/1/1964
1/5/1986,66756,Nyrup,Xiaoqiu,M,11/18/1957
1/5/1986,228955,Cincotta,Jianhui,F,12/16/1963
1/5/1986,97121,Lindqvist,Kristina,F,8/28/1957
1/5/1986,27028,Cooman,Magdalena,M,11/30/1962
1/5/1986,98973,Quittner,Aemilian,F,7/11/1955
1/5/1986,109885,Sessa,Mooi,F,4/16/1955
1/5/1986,78020,Lorie,Moie,M,2/11/1961
1/5/1986,235438,Badr,Armond,F,5/25/1963
1/5/1986,261635,Ruther,Amalendu,M,9/17/1952
1/5/1986,17814,Wilfing,Barna,M,2/23/1958
1/5/1986,252573,Guardalben,Rafael,M,2/12/1955
1/5/1986,37217,Luit,Nathalie,M,9/12/1952
1/5/1986,465117,Seuren,Heon,M,10/8/1956
1/5/1986,72761,Schlegelmilch,Arto,F,1/19/1954
1/5/1986,477671,Segond,Mikhail,M,4/8/1954
1/5/1986,428037,Felcyn,Dines,M,11/20/1959
1/5/1986,37132,Merkl,Satoru,F,9/29/1958
1/5/1986,209312,Colorni,Junichi,M,10/14/1954
1/5/1986,96410,Brobst,Shuho,F,11/18/1963
1/5/1986,72390,Kilgore,Jianhao,M,3/22/1958
1/5/1986,210014,Scharstein,Jamaludin,M,1/23/1957
1/5/1986,462051,Stemann,Jayesh,F,7/18/1953
1/5/1986,409583,Markovitch,Rosella,M,3/28/1962
1/5/1986,62872,Zwicker,Kitty,M,11/2/1956
1/5/1986,104788,Serov,Mabo,M,9/2/1956
1/5/1986,107862,Speckmann,Siamak,M,3/23/1960
1/5/1986,72306,Luga,Alexius,M,4/9/1959
1/5/1986,19915,Snedden,Mohit,F,6/22/1962
1/5/1986,435465,Boguraev,Gio,F,7/28/1952
1/5/1986,254388,Beausoleil,Leaf,M,6/3/1964
1/5/1986,485188,Marrevee,Jianhao,F,10/15/1955
1/5/1986,437310,Skafidas,Shuichi,M,6/23/1961
1/5/1986,482067,Penz,Rosella,M,10/9/1961
1/5/1986,444650,Ghelli,Cristinel,M,6/4/1952
1/5/1986,75533,Coorg,Tomoyuki,M,8/11/1954
1/5/1986,100725,Maliniak,Zvonko,M,8/3/1953
1/5/1986,455435,Pelz,Berthier,M,5/17/1954
1/5/1986,486964,Barinka,Chiradeep,F,6/28/1957
1/5/1986,282084,Chinen,Gil,M,8/18/1952
1/5/1986,483417,Rosca,Jungsoon,M,8/19/1957
1/5/1986,490777,Ritzmann,Apostol,M,1/15/1953
1/5/1986,63128,Gulak,Zhensheng,F,5/24/1952
1/5/1986,95368,Sichman,Arco,M,8/2/1952
1/5/1986,292095,Pramanik,Eben,M,4/3/1964
1/5/1986,86946,Weedman,Toshimi,M,2/3/1956
1/5/1986,444500,Fendler,Remzi,M,5/9/1963
1/5/1986,283009,Erde,Mitchel,F,9/11/1954
1/5/1986,241689,Borovoy,Tristan,M,12/27/1953
1/5/1986,10585,Willoner,Sajjad,F,11/10/1963
1/5/1986,284579,Kambil,Paddy,M,5/10/1952
1/5/1986,35109,Xiaoshan,Arup,M,5/19/1963
1/5/1986,290685,Nations,Spyrose,F,4/21/1953
1/5/1986,63284,Heuser,Zita,M,12/15/1957
1/5/1986,422860,Quaggetto,Divier,F,7/27/1964
1/5/1986,232141,Lenart,Tesuya,M,6/16/1956
1/5/1986,416135,Luon,Sailaja,F,12/6/1962
1/5/1986,291651,Baaleh,Ortrun,F,6/20/1954
1/5/1986,49557,Staudhammer,Anoosh,M,10/4/1958
1/5/1986,15928,Feinberg,Bangqing,F,3/19/1958
1/5/1986,451787,Gruenwald,Phuoc,M,5/6/1963
1/5/1986,231776,Solares,Lech,M,6/28/1963
1/5/1986,221898,Peek,Tesuya,F,4/7/1962
